,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
108,Kudahuvadhoo,68,MV,1554611663,100,2.67,72.89,84.57,4.27
109,Smiltene,68,LV,1554611416,62,57.42,25.9,39.0,1.99
110,Baykit,56,RU,1554611905,76,61.68,96.39,26.16,5.61
111,Bud,36,NO,1554611538,69,62.91,6.91,41.0,9.17
112,Shaoyang,0,CN,1554611905,81,27.23,111.45,79.62,4.05
113,Fuling,0,CN,1554611906,57,29.71,107.39,80.34,3.71
114,Kaitangata,0,NZ,1554611816,66,-46.28,169.85,59.0,21.99
115,Kambove,64,CD,1554611906,81,-10.88,26.6,68.64,5.95
116,Mandalgovi,0,MN,1554611906,100,45.76,106.27,35.16,8.75
117,Pisco,0,PE,1554606000,78,-13.71,-76.2,73.4,2.24
118,Upernavik,8,GL,1554611907,73,72.79,-56.15,30.39,14.9
119,Port Alfred,12,ZA,1554611743,92,-33.59,26.89,61.0,4.0
120,Thompson,75,CA,1554609600,52,55.74,-97.86,17.6,8.05
121,Birjand,0,IR,1554609600,38,32.86,59.22,59.0,6.93
122,Vila do Maio,20,CV,1554609600,73,15.13,-23.22,69.8,17.22
123,Caravelas,80,BR,1554611771,97,-17.73,-39.27,82.41,9.42
124,Port Hedland,0,AU,1554609600,22,-20.31,118.58,102.2,16.11
125,East London,0,ZA,1554609600,88,-33.02,27.91,62.6,8.05
126,Tartagal,0,AR,1554611706,81,-22.52,-63.8,50.82,2.82
127,Pacific Grove,1,US,1554611908,82,36.62,-121.92,60.01,0.92
128,New Norfolk,0,AU,1554611421,35,-42.78,147.06,70.0,19.46
129,Newport,12,GB,1554611884,87,51.59,-3.0,46.0,14.99
130,Vila Velha,40,BR,1554611290,88,-3.71,-38.6,78.8,4.7
131,Severo-Kurilsk,92,RU,1554611910,94,50.68,156.12,32.64,23.51
132,Angul,0,IN,1554611910,39,20.84,85.1,98.25,5.84
133,Atikokan,92,CA,1554611665,94,48.76,-91.62,39.39,6.96
134,Kaeo,36,NZ,1554611584,52,-35.1,173.78,64.99,8.01
135,Coquimbo,90,CL,1554606000,93,-29.95,-71.34,57.2,1.12
136,Sigli,68,ID,1554611913,93,5.38,95.96,83.04,6.17
137,Victoria,75,BN,1554607800,79,5.28,115.24,89.6,1.12
138,Pareora,0,NZ,1554611893,70,-44.49,171.21,57.0,4.38
139,Meulaboh,64,ID,1554611914,100,4.14,96.13,81.33,4.5
140,Yerbogachen,0,RU,1554611914,56,61.28,108.01,38.31,9.42
141,Giulianova,92,IT,1554611875,100,42.75,13.97,51.01,3.36
142,Kruisfontein,0,ZA,1554611915,83,-34.0,24.73,61.17,11.65
143,Tabriz,0,IR,1554611400,70,38.08,46.29,48.2,2.24
144,Kathmandu,75,NP,1554609000,72,27.71,85.32,64.4,2.24
145,Dikson,76,RU,1554611915,100,73.51,80.55,17.16,2.37
146,Kapaa,1,US,1554611905,61,22.08,-159.32,78.8,10.29
147,Lazarev,20,RU,1554611916,82,52.23,141.51,33.18,15.12
148,Harlingen,90,US,1554611913,88,26.19,-97.7,77.0,9.17
149,Lokosovo,0,RU,1554611887,85,61.13,74.84,31.38,11.1
150,Benjamin Constant,90,BR,1554609600,100,-4.38,-70.03,75.2,2.24
151,Yulara,12,AU,1554606000,19,-25.24,130.99,89.6,3.36
152,Portland,90,US,1554611670,93,45.52,-122.67,50.0,8.05
153,Pangnirtung,80,CA,1554611628,78,66.15,-65.72,15.45,6.96
154,Lavrentiya,0,RU,1554611686,86,65.58,-170.99,15.0,17.36
155,Kodinsk,64,RU,1554611918,43,58.6,99.18,40.92,4.83
156,Abu Kamal,44,SY,1554611918,86,34.45,40.92,62.52,8.41
157,Dubbo,0,AU,1554609600,22,-32.25,148.6,87.8,17.22
158,Sergach,68,RU,1554611919,100,55.53,45.48,34.53,4.61
159,Liverpool,0,GB,1554611884,81,53.41,-2.98,46.99,6.93
160,Ullal,40,IN,1554609600,70,12.8,74.85,86.0,3.36
161,Tiksi,0,RU,1554611920,67,71.64,128.87,33.18,9.53
162,Veraval,0,FR,1554611793,93,49.65,0.71,48.2,3.36
163,Sinnamary,100,GF,1554611921,100,5.38,-52.96,77.82,13.11
164,Ponta do Sol,80,BR,1554611922,94,-20.63,-46.0,65.94,2.15
165,Ostrovnoy,68,RU,1554611750,96,68.05,39.51,29.22,3.49
166,Port Keats,92,AU,1554611923,60,-14.25,129.55,90.96,13.22
167,Tocopilla,24,CL,1554611758,100,-22.09,-70.2,59.01,0.13
168,Abu Dhabi,0,AE,1554609600,18,24.47,54.37,84.2,8.05
169,Yumen,20,CN,1554611923,33,40.29,97.04,64.41,3.27
170,Balikpapan,44,ID,1554611924,100,-1.24,116.86,83.4,2.26
171,Antalaha,64,MG,1554611924,95,-14.9,50.28,80.43,7.96
172,Miri,24,NG,1554611924,64,10.31,9.75,76.74,4.72
173,Esperance,20,TT,1554611706,78,10.24,-61.45,77.0,4.7
174,Igarka,88,RU,1554611925,100,67.47,86.57,23.55,5.61
175,Ponta Delgada,75,PT,1554611884,76,37.73,-25.67,57.2,10.29
176,Barra do Garcas,20,BR,1554611925,94,-15.89,-52.26,71.97,8.3
177,Noumea,36,NC,1554611400,78,-22.28,166.46,73.4,13.87
178,Qaanaaq,0,GL,1554611694,70,77.48,-69.36,12.84,12.77
179,Sao Joao da Barra,32,BR,1554611789,94,-21.64,-41.05,81.87,21.83
180,Mount Gambier,90,AU,1554609660,82,-37.83,140.78,60.8,17.22
181,Tuktoyaktuk,75,CA,1554609600,77,69.44,-133.03,-0.41,11.41
182,Sept-Iles,40,CA,1554609600,86,50.2,-66.38,28.4,5.82
183,Pilar,0,AR,1554611704,87,-34.46,-58.91,62.6,2.71
184,Temiscaming,75,CA,1554611416,100,46.72,-79.1,33.8,5.82
185,Araouane,0,ML,1554611927,32,18.9,-3.53,58.74,8.75
186,Road Town,1,VG,1554611608,69,18.42,-64.62,78.01,10.29
187,Wucheng,0,CN,1554611927,58,29.09,119.57,77.64,3.38
188,Bjornevatn,80,NO,1554610800,79,69.67,29.98,28.4,9.17
189,Visnes,0,NO,1554611886,93,59.36,5.22,41.0,5.82
190,Adeje,64,NG,1554611928,92,5.68,5.76,77.37,5.17
191,Louga,0,SN,1554606000,72,15.62,-16.22,68.0,6.93
192,Xiongzhou,0,CN,1554611923,37,32.34,118.83,87.01,8.95
193,Songea,40,TZ,1554606000,93,-10.68,35.65,66.2,1.92
194,Shangqiu,0,CN,1554611929,67,34.42,115.65,76.65,4.61
195,Talnakh,76,RU,1554611731,97,69.49,88.39,16.89,10.2
196,Parabel,32,RU,1554611929,74,58.71,81.5,31.29,8.75
197,Marsh Harbour,20,BS,1554611719,100,26.54,-77.06,74.76,11.65
198,Manaure,0,CO,1554611871,97,11.78,-72.45,78.36,20.94
199,Chuy,88,UY,1554611930,92,-33.69,-53.46,61.17,4.05
200,Wagar,44,US,1554611910,95,31.44,-87.99,71.01,4.5
201,Saskatoon,90,CA,1554611652,100,52.13,-106.66,37.99,13.87
202,Hudson Bay,92,CA,1554611931,92,52.86,-102.4,32.82,6.73
203,Nabire,64,ID,1554611931,87,-3.36,135.5,76.56,2.15
204,Barreiras,12,BR,1554611931,91,-12.14,-45.0,68.01,3.15
205,Tupik,88,RU,1554611932,52,54.43,119.94,31.56,8.19
206,Labuhan,56,ID,1554611932,74,-2.54,115.51,84.93,2.82
207,Kitui,0,KE,1554611932,67,-1.37,38.02,73.77,4.61
208,Richards Bay,56,ZA,1554611932,95,-28.77,32.06,66.21,4.5
209,Binga,20,ZW,1554611933,73,-17.62,27.34,77.1,6.73
210,Ulaanbaatar,0,MN,1554609600,85,47.92,106.92,24.8,4.47
211,Kirando,24,TZ,1554611933,100,-7.37,30.62,71.52,5.73
212,Shemgang,92,BT,1554611933,100,27.22,90.66,57.3,1.59
213,Wahiawa,75,US,1554611556,69,21.5,-158.02,82.0,5.82
214,Tuatapere,0,NZ,1554611407,66,-46.13,167.69,57.99,5.01
215,Cabo San Lucas,5,MX,1554611707,72,22.89,-109.91,70.0,4.7
216,Gurupi,0,BR,1554611934,92,-11.73,-49.07,71.34,2.82
217,Arraial do Cabo,68,BR,1554611935,94,-22.97,-42.02,79.17,7.29
218,Saldanha,64,PT,1554611935,91,41.42,-6.55,36.15,3.6
219,Najran,0,SA,1554609600,64,17.54,44.22,68.0,6.93
220,College,1,US,1554611927,41,64.86,-147.8,39.2,5.82
221,Castro,90,CL,1554606000,93,-42.48,-73.76,55.4,9.17
222,Praia,0,BR,1554606000,83,-20.25,-43.81,71.6,4.7
223,Barrow,0,AR,1554611936,47,-38.31,-60.23,59.19,13.0
224,Narsaq,64,GL,1554609000,75,60.91,-46.05,32.0,3.38
225,Port Elizabeth,1,US,1554611899,100,39.31,-74.98,53.6,1.03
226,Leshukonskoye,0,RU,1554611801,82,64.9,45.76,36.42,3.6
227,Saint George,40,GR,1554611613,93,39.45,22.34,54.0,1.36
228,Norrtalje,0,SE,1554611883,69,59.76,18.7,41.0,4.7
229,Elizabeth City,90,US,1554611903,93,36.3,-76.22,55.0,4.7
230,Arlit,24,NE,1554611938,27,18.74,7.39,69.81,3.71
231,Tondol,48,PH,1554611938,85,16.31,120.01,86.19,6.85
232,Aushiger,0,RU,1554609600,75,43.39,43.73,44.01,2.24
233,Praya,40,ID,1554609600,62,-8.71,116.27,87.8,6.93
234,Itarema,88,BR,1554611939,97,-2.92,-39.92,70.35,3.71
235,Inhambane,40,MZ,1554609600,88,-23.87,35.38,75.2,8.63
236,Kijang,75,KR,1554609600,59,35.24,129.21,62.6,8.05
237,Kangaatsiaq,36,GL,1554611940,80,68.31,-53.46,32.64,24.4
238,Begusarai,32,IN,1554611940,90,25.41,86.13,76.11,11.32
239,Muyezerskiy,64,RU,1554611940,81,63.93,31.65,36.33,2.48
240,Nioki,68,CD,1554611940,100,-2.72,17.69,71.52,2.93
241,Tignere,0,CM,1554611941,89,7.37,12.65,65.49,5.39
242,Jalu,24,LY,1554611941,67,29.03,21.55,62.34,7.18
243,Wangaratta,0,AU,1554611724,27,-36.36,146.32,79.0,12.75
244,Kununurra,88,AU,1554609600,38,-15.77,128.74,93.2,11.41
245,Requena,20,ES,1554611858,70,39.49,-1.1,51.01,12.75
246,Wolgast,0,DE,1554610935,89,54.05,13.77,43.0,8.63
247,Zlate Hory,24,CZ,1554611620,78,50.26,17.4,41.0,4.16
248,Smidovich,48,RU,1554611942,40,48.6,133.81,45.42,4.27
249,Idah,0,NG,1554611943,89,7.11,6.73,78.18,7.74
250,Cabras,56,CO,1554611335,99,5.5,-75.6,57.99,1.25
251,Cayenne,75,GF,1554607800,88,4.94,-52.33,77.0,5.82
252,Usakos,0,NA,1554611943,87,-22.0,15.59,55.05,3.15
253,Khor,48,RU,1554611944,51,47.88,134.96,44.52,6.4
254,Lasa,20,CY,1554611400,87,34.92,32.53,60.8,4.7
255,Shingu,0,JP,1554609600,40,33.72,135.99,69.8,11.41
256,Cidreira,80,BR,1554611944,95,-30.17,-50.22,69.45,7.74
257,Mana,0,RS,1554609600,81,43.52,20.24,44.6,2.24
258,Stepnoye,90,RU,1554611935,100,51.38,46.84,39.2,11.18
259,Macusani,56,PE,1554611945,96,-14.07,-70.43,45.24,1.81
260,Hami,92,CN,1554611946,68,42.84,93.51,59.82,7.63
261,Saskylakh,64,RU,1554611946,91,71.97,114.09,25.71,18.7
262,Challans,90,FR,1554611826,93,46.85,-1.88,48.99,9.17
263,Rocha,88,UY,1554611946,89,-34.48,-54.34,53.61,2.59
264,Flinders,0,AU,1554611945,51,-34.58,150.85,80.6,10.29
265,San Onofre,12,CO,1554611947,81,9.74,-75.52,78.36,3.94
266,Kamaishi,75,JP,1554609600,61,39.28,141.86,48.2,9.17
267,Carballo,40,ES,1554611941,93,43.21,-8.69,46.99,8.05
268,Voznesenye,24,RU,1554611948,81,61.02,35.48,33.99,5.95
269,Vanimo,48,PG,1554611948,100,-2.67,141.3,81.06,1.36
270,Jagdalpur,0,IN,1554611948,33,19.09,82.02,94.38,15.01
271,Paamiut,88,GL,1554611780,92,61.99,-49.67,33.27,26.08
272,Badarwas,48,IN,1554611949,24,24.97,77.57,97.26,9.19
273,Anadyr,0,RU,1554609757,78,64.73,177.51,14.0,13.42
274,Aberystwyth,12,GB,1554611540,96,52.41,-4.08,44.01,1.99
275,Port Blair,0,IN,1554611949,100,11.67,92.75,84.12,5.84
276,Coari,12,BR,1554611666,97,-4.09,-63.14,75.03,4.27
277,Katobu,24,ID,1554611950,75,-4.94,122.53,89.43,2.04
278,Maamba,20,ZM,1554611950,55,-17.36,27.22,74.67,9.08
279,Wajir,40,KE,1554609600,74,1.75,40.07,78.8,8.05
280,Surt,0,LY,1554611951,96,31.21,16.59,58.92,13.22
281,Natal,20,BR,1554609600,88,-5.81,-35.21,78.8,3.36
282,Ostroleka,12,PL,1554611951,62,53.09,21.58,46.41,9.75
283,Avera,90,US,1554611886,96,33.19,-82.53,64.99,4.7
284,Murdochville,56,CA,1554611952,68,48.96,-65.49,29.76,14.0
285,Broome,88,GB,1554611918,100,52.47,1.45,46.0,9.17
286,Port Hawkesbury,90,CA,1554611760,93,45.62,-61.36,37.0,10.29
287,Vila Franca do Campo,75,PT,1554611704,76,37.72,-25.43,57.2,10.29
288,Mount Pleasant,1,US,1554611603,93,33.16,-94.97,61.0,7.07
289,Camacha,75,PT,1554609600,82,33.08,-16.33,60.8,12.75
290,Moose Factory,1,CA,1554609600,84,51.26,-80.61,6.8,6.93
291,Mouila,92,GA,1554611953,97,-1.86,11.06,73.41,2.93
292,Panzhihua,0,CN,1554611678,33,26.59,101.72,77.01,2.93
293,Asbury Park,75,US,1554611945,100,33.46,-86.74,64.0,5.06
294,Aranda de Duero,92,ES,1554611954,96,41.67,-3.69,32.46,9.08
295,Sisimiut,44,GL,1554611954,64,66.94,-53.67,14.64,1.7
296,Pontianak,20,ID,1554607800,62,-0.02,109.34,87.8,5.39
297,Nome,90,US,1554611758,88,30.04,-94.42,73.99,10.29
298,Grootfontein,0,NA,1554611794,77,-19.56,18.1,60.9,2.93
299,Lazo,88,MD,1554611955,48,47.89,27.93,47.49,9.08
300,Sajkas,0,RS,1554611888,70,45.27,20.09,50.0,6.93
301,Hobyo,0,SO,1554611956,73,5.35,48.53,84.21,9.08
302,Northam,24,GB,1554611898,87,51.04,-4.21,46.99,14.0
303,Cabra,0,ES,1554611659,93,37.47,-4.43,46.99,8.05
304,Bereda,40,ES,1554611945,93,43.27,-7.54,46.99,8.05
305,Kjollefjord,88,NO,1554611795,88,70.95,27.35,30.75,8.97
306,Doka,0,SD,1554611957,22,13.52,35.76,87.09,3.27
307,Balkhash,0,KZ,1554607800,65,46.84,74.98,41.0,13.42
308,Katsuura,40,JP,1554611701,43,33.93,134.5,71.6,10.29
309,Clyde River,68,CA,1554609600,84,70.47,-68.59,6.8,23.04
310,Zhengjiatun,92,CN,1554611957,38,43.51,123.51,48.84,12.33
311,Shuyskoye,88,RU,1554611958,98,59.37,41.03,35.52,4.61
312,Iqaluit,75,CA,1554609732,67,63.75,-68.52,19.0,2.24
313,Havoysund,88,NO,1554610800,54,71.0,24.66,30.2,18.34
314,Nyurba,0,RU,1554611958,46,63.29,118.35,36.69,7.18
315,Fort Nelson,90,CA,1554609600,80,58.81,-122.69,30.2,3.36
316,Chicama,40,PE,1554606000,88,-7.84,-79.15,69.8,6.93
317,Alice Springs,0,AU,1554609600,20,-23.7,133.88,87.8,11.41
318,Constitucion,0,MX,1554611959,40,23.99,-104.67,45.87,6.17
319,Kizukuri,75,JP,1554611805,83,40.81,140.39,41.0,5.82
320,Iquitos,75,PE,1554606000,94,-3.75,-73.25,78.8,4.94
321,Ixtapa,5,MX,1554611708,88,20.71,-105.21,75.0,5.82
322,Virginia Beach,90,US,1554611759,100,36.85,-75.98,52.0,6.4
323,Amapa,20,HN,1554609600,83,15.09,-87.97,78.8,4.7
324,San Quintin,48,PH,1554611693,83,17.54,120.52,82.41,4.61
325,Garowe,36,SO,1554611960,78,8.41,48.48,74.13,4.27
326,Hofn,64,IS,1554611961,100,64.25,-15.21,36.69,17.81
327,Husavik,92,CA,1554611716,82,50.56,-96.99,39.99,13.22
328,Belozerskoye,0,RU,1554611961,63,55.82,65.58,49.11,4.16
329,Biak,88,ID,1554611961,75,-0.91,122.88,87.18,2.48
330,Shache,0,CN,1554611962,19,38.42,77.24,70.26,11.32
331,Riyadh,75,SA,1554609600,41,24.63,46.72,78.8,9.17
332,Alamos,0,AR,1554611962,57,-36.9,-62.36,53.61,8.52
333,Polis,20,CY,1554611400,87,35.04,32.42,57.2,4.7
334,Khani,0,GE,1554607800,81,41.96,42.96,51.8,9.17
335,Floriano,80,BR,1554611725,97,-6.77,-43.02,71.79,3.38
336,Bar Harbor,1,US,1554611722,74,44.39,-68.2,41.0,3.36
337,Kieta,44,PG,1554611963,98,-6.22,155.63,81.51,4.38
338,Gold Coast,0,AU,1554611962,57,-28.0,153.41,84.99,12.75
339,Ballina,0,IE,1554611891,81,54.11,-9.15,41.0,8.99
340,Lanzhou,0,CN,1554609600,16,36.06,103.82,62.6,4.47
341,Chapleau,0,CA,1554611964,80,47.85,-83.4,22.29,2.15
342,Kabelvag,8,NO,1554611488,70,68.21,14.48,32.0,5.01
343,Champerico,5,MX,1554608580,61,16.38,-93.6,78.8,5.82
344,Starozhilovo,12,RU,1554611712,92,54.23,39.91,36.0,1.01
345,Castanos,68,MX,1554611705,33,26.78,-101.42,84.0,1.99
346,Balkanabat,8,TM,1554611668,59,39.51,54.36,65.04,4.16
347,Bennettsville,1,US,1554611928,93,34.62,-79.68,63.0,6.51
348,Point Pedro,0,LK,1554611967,85,9.82,80.23,88.35,1.48
349,Thinadhoo,36,MV,1554611721,100,0.53,72.93,83.67,0.92
350,Namibe,8,AO,1554611741,100,-15.19,12.15,76.92,10.98
351,Tygda,92,RU,1554611967,34,53.11,126.33,43.98,6.4
352,Vestmannaeyjar,8,IS,1554611967,100,63.44,-20.27,34.53,13.44
353,Port Macquarie,0,AU,1554611705,42,-31.43,152.91,88.0,12.75
354,Sao Filipe,0,CV,1554611968,97,14.9,-24.5,70.44,14.67
355,Rivera,8,UY,1554611968,92,-30.9,-55.54,54.69,3.38
356,Inuvik,40,CA,1554609600,56,68.36,-133.71,14.0,8.05
357,Cap Malheureux,75,MU,1554611940,61,-19.98,57.61,82.4,11.41
358,Inuyama,0,JP,1554611644,55,35.36,136.98,75.0,4.7
359,Lompoc,90,US,1554611806,100,34.64,-120.46,59.0,8.05
360,Guerrero Negro,0,MX,1554611969,94,27.97,-114.04,58.56,12.55
361,Aljezur,100,PT,1554611830,86,37.31,-8.8,55.0,16.46
362,Karpogory,0,RU,1554611970,80,64.0,44.44,38.49,3.6
363,Aykhal,48,RU,1554611970,76,65.95,111.51,29.67,11.77
364,Nadapuram,0,IN,1554611970,46,11.7,75.65,93.39,3.27
365,Kavieng,48,PG,1554611970,100,-2.57,150.8,83.67,3.27
366,Rey Bouba,64,CM,1554611971,55,8.67,14.18,80.34,3.71
367,Puerto del Rosario,64,ES,1554609600,72,28.5,-13.86,60.8,6.93
368,Muros,40,ES,1554611774,100,42.77,-9.06,46.99,4.7
369,Siverek,0,TR,1554610800,93,37.75,39.32,50.0,1.12
370,Kazanskaya,0,RU,1554611972,70,45.41,40.44,52.62,12.44
371,Nanga Eboko,68,CM,1554611972,98,4.68,12.37,69.63,6.06
372,Amahai,36,ID,1554611811,100,-3.31,129.0,84.21,5.84
373,San Patricio,0,PY,1554611713,91,-26.98,-56.83,62.07,4.38
374,Kalynivka,0,UA,1554611407,48,50.23,30.23,46.0,4.47
375,Miles City,90,US,1554611906,41,46.41,-105.84,57.2,17.22
376,Naze,75,NG,1554606000,94,5.43,7.07,77.0,4.16
